tau,sensitivity,specificity,youden_j,precision,f1,accuracy,rag_pct,tp,fp,fn,tn
0.1,0.0078,0.9972,0.005,0.8333,0.0154,0.362,0.6,5,1,637,357
0.11,0.0109,0.9944,0.0053,0.7778,0.0215,0.363,0.9,7,2,635,356
0.12,0.0187,0.9944,0.0131,0.8571,0.0366,0.368,1.4,12,2,630,356
0.13,0.0296,0.9944,0.024,0.9048,0.0573,0.375,2.1,19,2,623,356
0.14,0.0483,0.9916,0.0399,0.9118,0.0917,0.386,3.4,31,3,611,355
0.15,0.0623,0.986,0.0483,0.8889,0.1164,0.393,4.5,40,5,602,353
0.16,0.0717,0.9749,0.0465,0.8364,0.132,0.395,5.5,46,9,596,349
0.17,0.0966,0.9721,0.0686,0.8611,0.1737,0.41,7.2,62,10,580,348
0.18,0.1231,0.9581,0.0812,0.8404,0.2147,0.422,9.4,79,15,563,343
0.19,0.1495,0.9441,0.0937,0.8276,0.2533,0.434,11.6,96,20,546,338
0.2,0.1745,0.9441,0.1186,0.8485,0.2894,0.45,13.2,112,20,530,338
0.21,0.2072,0.9413,0.1485,0.8636,0.3342,0.47,15.4,133,21,509,337
0.22,0.2461,0.9246,0.1707,0.8541,0.3821,0.489,18.5,158,27,484,331
0.23,0.2726,0.9106,0.1832,0.8454,0.4122,0.501,20.7,175,32,467,326
0.24,0.2991,0.8911,0.1901,0.8312,0.4399,0.511,23.1,192,39,450,319
0.25,0.3287,0.8771,0.2058,0.8275,0.4705,0.525,25.5,211,44,431,314
0.26,0.3614,0.8659,0.2273,0.8286,0.5033,0.542,28.0,232,48,410,310
0.27,0.3894,0.8464,0.2358,0.8197,0.528,0.553,30.5,250,55,392,303
0.28,0.4112,0.8101,0.2213,0.7952,0.5421,0.554,33.2,264,68,378,290
0.29,0.4424,0.7654,0.2077,0.7717,0.5624,0.558,36.8,284,84,358,274
0.3,0.472,0.7346,0.2066,0.7613,0.5827,0.566,39.8,303,95,339,263
0.31,0.4984,0.7123,0.2107,0.7565,0.6009,0.575,42.3,320,103,322,255
0.32,0.5249,0.6927,0.2177,0.7539,0.6189,0.585,44.7,337,110,305,248
0.33,0.5498,0.6648,0.2146,0.7463,0.6332,0.591,47.3,353,120,289,238
0.34,0.5717,0.6341,0.2057,0.7369,0.6439,0.594,49.8,367,131,275,227
0.35,0.5997,0.6229,0.2226,0.7404,0.6627,0.608,52.0,385,135,257,223
0.36,0.6262,0.6034,0.2295,0.739,0.6779,0.618,54.4,402,142,240,216
0.37,0.6402,0.5559,0.1961,0.7211,0.6782,0.61,57.0,411,159,231,199
0.38,0.6589,0.5335,0.1924,0.7169,0.6867,0.614,59.0,423,167,219,191
0.39,0.6869,0.5,0.1869,0.7113,0.6989,0.62,62.0,441,179,201,179
0.4,0.7134,0.4777,0.191,0.7101,0.7117,0.629,64.5,458,187,184,171
0.41,0.7305,0.4525,0.183,0.7053,0.7177,0.631,66.5,469,196,173,162
0.42,0.7414,0.433,0.1744,0.701,0.7207,0.631,67.9,476,203,166,155
0.43,0.7586,0.4022,0.1608,0.6947,0.7252,0.631,70.1,487,214,155,144
0.44,0.7741,0.3855,0.1596,0.6932,0.7314,0.635,71.7,497,220,145,138
0.45,0.7819,0.3631,0.1451,0.6877,0.7318,0.632,73.0,502,228,140,130
0.46,0.796,0.3492,0.1451,0.6868,0.7374,0.636,74.4,511,233,131,125
0.47,0.8084,0.3436,0.152,0.6883,0.7436,0.642,75.4,519,235,123,123
0.48,0.8131,0.3324,0.1455,0.6859,0.7441,0.641,76.1,522,239,120,119
0.49,0.8209,0.3156,0.1365,0.6826,0.7454,0.64,77.2,527,245,115,113
0.5,0.8318,0.3017,0.1335,0.6811,0.7489,0.642,78.4,534,250,108,108
0.51,0.8427,0.2849,0.1276,0.6788,0.7519,0.643,79.7,541,256,101,102
0.52,0.8551,0.2709,0.1261,0.6778,0.7562,0.646,81.0,549,261,93,97
0.53,0.8614,0.2514,0.1128,0.6736,0.756,0.643,82.1,553,268,89,90
0.54,0.8692,0.2291,0.0982,0.6691,0.7561,0.64,83.4,558,276,84,82
0.55,0.8738,0.2123,0.0861,0.6655,0.7556,0.637,84.3,561,282,81,76
0.56,0.8785,0.1927,0.0712,0.6612,0.7545,0.633,85.3,564,289,78,69
0.57,0.8832,0.1816,0.0647,0.6593,0.755,0.632,86.0,567,293,75,65
0.58,0.8863,0.1648,0.0511,0.6555,0.7536,0.628,86.8,569,299,73,59
0.59,0.8941,0.1508,0.0449,0.6538,0.7553,0.628,87.8,574,304,68,54
0.6,0.9003,0.1425,0.0428,0.6531,0.757,0.629,88.5,578,307,64,51
0.61,0.9112,0.1341,0.0453,0.6536,0.7612,0.633,89.5,585,310,57,48
0.62,0.919,0.1229,0.0419,0.6527,0.7633,0.634,90.4,590,314,52,44
0.63,0.9268,0.1034,0.0301,0.6496,0.7638,0.632,91.6,595,321,47,37
0.64,0.933,0.1006,0.0336,0.6504,0.7665,0.635,92.1,599,322,43,36
0.65,0.9361,0.0922,0.0283,0.649,0.7666,0.634,92.6,601,325,41,33
0.66,0.9361,0.081,0.0171,0.6462,0.7646,0.63,93.0,601,329,41,29
0.67,0.9393,0.081,0.0203,0.647,0.7662,0.632,93.2,603,329,39,29
0.68,0.9408,0.0754,0.0162,0.646,0.766,0.631,93.5,604,331,38,27
0.69,0.9455,0.0726,0.0181,0.6464,0.7679,0.633,93.9,607,332,35,26
0.7,0.9486,0.0642,0.0128,0.6451,0.768,0.632,94.4,609,335,33,23
0.71,0.9517,0.0642,0.016,0.6459,0.7695,0.634,94.6,611,335,31,23
0.72,0.9564,0.0615,0.0178,0.6463,0.7714,0.636,95.0,614,336,28,22
0.73,0.9611,0.0559,0.0169,0.6461,0.7727,0.637,95.5,617,338,25,20
0.74,0.9626,0.0503,0.0129,0.6451,0.7725,0.636,95.8,618,340,24,18
0.75,0.9626,0.0447,0.0073,0.6438,0.7715,0.634,96.0,618,342,24,16
0.76,0.9642,0.0419,0.0061,0.6435,0.7718,0.634,96.2,619,343,23,15
0.77,0.9673,0.0363,0.0036,0.6429,0.7724,0.634,96.6,621,345,21,13
0.78,0.9704,0.0335,0.0039,0.6429,0.7734,0.635,96.9,623,346,19,12
0.79,0.972,0.0307,0.0027,0.6426,0.7737,0.635,97.1,624,347,18,11
0.8,0.9735,0.0307,0.0042,0.643,0.7745,0.636,97.2,625,347,17,11
0.81,0.9735,0.0279,0.0015,0.6423,0.774,0.635,97.3,625,348,17,10
0.82,0.9782,0.0251,0.0033,0.6428,0.7758,0.637,97.7,628,349,14,9
0.83,0.9782,0.0251,0.0033,0.6428,0.7758,0.637,97.7,628,349,14,9
0.84,0.9798,0.0251,0.0049,0.6431,0.7765,0.638,97.8,629,349,13,9
0.85,0.9813,0.0251,0.0064,0.6435,0.7773,0.639,97.9,630,349,12,9
0.86,0.9875,0.0251,0.0127,0.645,0.7803,0.643,98.3,634,349,8,9
0.87,0.9891,0.0251,0.0142,0.6453,0.7811,0.644,98.4,635,349,7,9
0.88,0.9907,0.0251,0.0158,0.6457,0.7818,0.645,98.5,636,349,6,9
0.89,0.9922,0.0223,0.0146,0.6454,0.7821,0.645,98.7,637,350,5,8
0.22,0.2461,0.9246,0.1707,0.8541,0.3821,0.489,18.5,158,27,484,331
0.221,0.2508,0.9246,0.1754,0.8564,0.388,0.492,18.8,161,27,481,331
0.222,0.2523,0.9246,0.1769,0.8571,0.3899,0.493,18.9,162,27,480,331
0.223,0.2555,0.9218,0.1772,0.8542,0.3933,0.494,19.2,164,28,478,330
0.224,0.257,0.9218,0.1788,0.8549,0.3952,0.495,19.3,165,28,477,330
0.225,0.257,0.919,0.176,0.8505,0.3947,0.494,19.4,165,29,477,329
0.226,0.2601,0.9162,0.1763,0.8477,0.3981,0.495,19.7,167,30,475,328
0.227,0.2632,0.9134,0.1766,0.845,0.4014,0.496,20.0,169,31,473,327
0.228,0.2695,0.9134,0.1829,0.848,0.409,0.5,20.4,173,31,469,327
0.229,0.2726,0.9134,0.186,0.8495,0.4127,0.502,20.6,175,31,467,327
0.23,0.2726,0.9106,0.1832,0.8454,0.4122,0.501,20.7,175,32,467,326
0.231,0.2726,0.9078,0.1804,0.8413,0.4118,0.5,20.8,175,33,467,325
0.232,0.2773,0.9078,0.1851,0.8436,0.4174,0.503,21.1,178,33,464,325
0.233,0.2788,0.905,0.1838,0.8404,0.4187,0.503,21.3,179,34,463,324
0.234,0.2788,0.9022,0.1811,0.8364,0.4182,0.502,21.4,179,35,463,323
0.235,0.285,0.9022,0.1873,0.8394,0.4256,0.506,21.8,183,35,459,323
0.236,0.2882,0.8994,0.1876,0.8371,0.4287,0.507,22.1,185,36,457,322
0.237,0.2882,0.8966,0.1848,0.8333,0.4282,0.506,22.2,185,37,457,321
0.238,0.2913,0.8939,0.1851,0.8311,0.4314,0.507,22.5,187,38,455,320
0.239,0.2975,0.8939,0.1914,0.8341,0.4386,0.511,22.9,191,38,451,320
0.24,0.2991,0.8911,0.1901,0.8312,0.4399,0.511,23.1,192,39,450,319
0.241,0.3022,0.8911,0.1932,0.8326,0.4434,0.513,23.3,194,39,448,319
0.242,0.3069,0.8911,0.1979,0.8347,0.4487,0.516,23.6,197,39,445,319
0.243,0.3069,0.8911,0.1979,0.8347,0.4487,0.516,23.6,197,39,445,319
0.244,0.3069,0.8911,0.1979,0.8347,0.4487,0.516,23.6,197,39,445,319
0.245,0.31,0.8883,0.1982,0.8326,0.4518,0.517,23.9,199,40,443,318
0.246,0.3115,0.8855,0.197,0.8299,0.453,0.517,24.1,200,41,442,317
0.247,0.3131,0.8799,0.193,0.8238,0.4537,0.516,24.4,201,43,441,315
0.248,0.3209,0.8799,0.2008,0.8273,0.4624,0.521,24.9,206,43,436,315
0.249,0.3255,0.8771,0.2026,0.8261,0.467,0.523,25.3,209,44,433,314
0.25,0.3287,0.8771,0.2058,0.8275,0.4705,0.525,25.5,211,44,431,314
0.251,0.3318,0.8771,0.2089,0.8288,0.4739,0.527,25.7,213,44,429,314
0.252,0.3349,0.8771,0.212,0.8301,0.4772,0.529,25.9,215,44,427,314
0.253,0.338,0.8743,0.2123,0.8282,0.4801,0.53,26.2,217,45,425,313
0.254,0.3396,0.8687,0.2083,0.8226,0.4807,0.529,26.5,218,47,424,311
0.255,0.3442,0.8687,0.213,0.8246,0.4857,0.532,26.8,221,47,421,311
0.256,0.3458,0.8687,0.2145,0.8253,0.4874,0.533,26.9,222,47,420,311
0.257,0.3489,0.8687,0.2176,0.8266,0.4907,0.535,27.1,224,47,418,311
0.258,0.3583,0.8687,0.227,0.8303,0.5005,0.541,27.7,230,47,412,311
0.259,0.3583,0.8659,0.2242,0.8273,0.5,0.54,27.8,230,48,412,310
0.26,0.3614,0.8659,0.2273,0.8286,0.5033,0.542,28.0,232,48,410,310
0.261,0.3629,0.8631,0.2261,0.8262,0.5043,0.542,28.2,233,49,409,309
0.262,0.3676,0.8575,0.2251,0.8223,0.5081,0.543,28.7,236,51,406,307
0.263,0.3723,0.8547,0.227,0.8213,0.5123,0.545,29.1,239,52,403,306
0.264,0.3754,0.8547,0.2301,0.8225,0.5155,0.547,29.3,241,52,401,306
0.265,0.3769,0.852,0.2289,0.8203,0.5165,0.547,29.5,242,53,400,305
0.266,0.3816,0.8492,0.2308,0.8194,0.5207,0.549,29.9,245,54,397,304
0.267,0.3847,0.8492,0.2339,0.8206,0.5239,0.551,30.1,247,54,395,304
0.268,0.3863,0.8492,0.2355,0.8212,0.5254,0.552,30.2,248,54,394,304
0.269,0.3894,0.8464,0.2358,0.8197,0.528,0.553,30.5,250,55,392,303
0.27,0.3894,0.8464,0.2358,0.8197,0.528,0.553,30.5,250,55,392,303
0.271,0.391,0.8436,0.2345,0.8176,0.529,0.553,30.7,251,56,391,302
0.272,0.3956,0.8436,0.2392,0.8194,0.5336,0.556,31.0,254,56,388,302
0.273,0.4003,0.838,0.2383,0.8159,0.5371,0.557,31.5,257,58,385,300
0.274,0.4019,0.838,0.2399,0.8165,0.5386,0.558,31.6,258,58,384,300
0.275,0.4019,0.8324,0.2343,0.8113,0.5375,0.556,31.8,258,60,384,298
0.276,0.405,0.8268,0.2318,0.8075,0.5394,0.556,32.2,260,62,382,296
0.277,0.405,0.824,0.229,0.805,0.5389,0.555,32.3,260,63,382,295
0.278,0.4065,0.8156,0.2222,0.7982,0.5387,0.553,32.7,261,66,381,292
0.279,0.4081,0.8101,0.2182,0.7939,0.5391,0.552,33.0,262,68,380,290
0.28,0.4112,0.8101,0.2213,0.7952,0.5421,0.554,33.2,264,68,378,290
0.281,0.4128,0.8045,0.2172,0.791,0.5425,0.553,33.5,265,70,377,288
0.282,0.4128,0.7989,0.2117,0.7864,0.5414,0.551,33.7,265,72,377,286
0.283,0.4143,0.7905,0.2048,0.7801,0.5412,0.549,34.1,266,75,376,283
0.284,0.419,0.7849,0.2039,0.7775,0.5445,0.55,34.6,269,77,373,281
0.285,0.4237,0.7821,0.2058,0.7771,0.5484,0.552,35.0,272,78,370,280
0.286,0.4315,0.7737,0.2052,0.7737,0.554,0.554,35.8,277,81,365,277
0.287,0.433,0.7682,0.2012,0.7701,0.5543,0.553,36.1,278,83,364,275
0.288,0.4361,0.7682,0.2043,0.7713,0.5572,0.555,36.3,280,83,362,275
0.289,0.4393,0.7654,0.2046,0.7705,0.5595,0.556,36.6,282,84,360,274
0.29,0.4424,0.7654,0.2077,0.7717,0.5624,0.558,36.8,284,84,358,274
0.291,0.4424,0.757,0.1994,0.7655,0.5607,0.555,37.1,284,87,358,271
0.292,0.4439,0.757,0.2009,0.7661,0.5621,0.556,37.2,285,87,357,271
0.293,0.4502,0.7542,0.2043,0.7666,0.5672,0.559,37.7,289,88,353,270
0.294,0.4579,0.7514,0.2093,0.7676,0.5737,0.563,38.3,294,89,348,269
0.295,0.4611,0.743,0.2041,0.7629,0.5748,0.562,38.8,296,92,346,266
0.296,0.4642,0.7402,0.2044,0.7621,0.577,0.563,39.1,298,93,344,265
0.297,0.4673,0.7402,0.2075,0.7634,0.5797,0.565,39.3,300,93,342,265
0.298,0.4688,0.7374,0.2063,0.762,0.5805,0.565,39.5,301,94,341,264
0.299,0.4704,0.7374,0.2078,0.7626,0.5819,0.566,39.6,302,94,340,264
0.3,0.472,0.7346,0.2066,0.7613,0.5827,0.566,39.8,303,95,339,263
0.301,0.4735,0.7318,0.2054,0.76,0.5835,0.566,40.0,304,96,338,262
0.302,0.4766,0.7318,0.2085,0.7612,0.5862,0.568,40.2,306,96,336,262
0.303,0.4782,0.7263,0.2045,0.758,0.5864,0.567,40.5,307,98,335,260
0.304,0.4798,0.7235,0.2032,0.7568,0.5872,0.567,40.7,308,99,334,259
0.305,0.4798,0.7207,0.2004,0.7549,0.5867,0.566,40.8,308,100,334,258
0.306,0.4829,0.7179,0.2007,0.7543,0.5888,0.567,41.1,310,101,332,257
0.307,0.4922,0.7179,0.2101,0.7578,0.5968,0.573,41.7,316,101,326,257
0.308,0.4969,0.7123,0.2092,0.7559,0.5996,0.574,42.2,319,103,323,255
0.309,0.4969,0.7123,0.2092,0.7559,0.5996,0.574,42.2,319,103,323,255
0.31,0.4984,0.7123,0.2107,0.7565,0.6009,0.575,42.3,320,103,322,255
0.311,0.5,0.7123,0.2123,0.7571,0.6023,0.576,42.4,321,103,321,255
0.312,0.5031,0.7123,0.2154,0.7582,0.6049,0.578,42.6,323,103,319,255
0.313,0.5031,0.7123,0.2154,0.7582,0.6049,0.578,42.6,323,103,319,255
0.314,0.5093,0.7095,0.2188,0.7587,0.6095,0.581,43.1,327,104,315,254
0.315,0.514,0.7011,0.2151,0.7551,0.6117,0.581,43.7,330,107,312,251
0.316,0.5171,0.7011,0.2183,0.7563,0.6142,0.583,43.9,332,107,310,251
0.317,0.5187,0.7011,0.2198,0.7568,0.6155,0.584,44.0,333,107,309,251
0.318,0.5202,0.7011,0.2214,0.7574,0.6168,0.585,44.1,334,107,308,251
0.319,0.5234,0.6983,0.2217,0.7568,0.6188,0.586,44.4,336,108,306,250
0.32,0.5249,0.6927,0.2177,0.7539,0.6189,0.585,44.7,337,110,305,248
